CustomerID,MonthEndDate,Balance
9979,2020-02-16,90021.58
9979,2020-03-16,94253.28
9979,2020-04-16,89507.02
9979,2020-05-16,88988.51
9979,2020-06-16,94092.88
9979,2020-07-16,92533.2
9979,2020-08-16,90045.89
9979,2020-09-16,94755.25
9979,2020-10-16,93996.53
9979,2020-11-16,94463.34
9979,2020-12-16,94319.13
9979,2021-01-16,89716.32
9979,2021-02-16,90823.47
9979,2021-03-16,88845.02
9979,2021-04-16,88917.4
9979,2021-05-16,89034.71
9979,2021-06-16,91311.93
9979,2021-07-16,94571.43
9979,2021-08-16,88921.25
9979,2021-09-16,90755.87
9979,2021-10-16,93735.32
9979,2021-11-16,89897.19
9979,2021-12-16,89000.8
9979,2022-01-16,94711.38
9979,2022-02-16,93368.73
9979,2022-03-16,92474.07
9979,2022-04-16,90599.79
9979,2022-05-16,92537.34
9979,2022-06-16,92825.35
9979,2022-07-16,88892.79
9979,2022-08-16,91053.24
9979,2022-09-16,90702.99
9979,2022-10-16,92664.53
9979,2022-11-16,90215.11
9979,2022-12-16,94662.42
9979,2023-01-16,91589.58
9979,2023-02-16,90572.29
9979,2023-03-16,94186.7
9979,2023-04-16,89831.18
9979,2023-05-16,89813.58
9979,2023-06-16,88938.49
9979,2023-07-16,93827.84
9979,2023-08-16,92604.01
9979,2023-09-16,89243.59
9979,2023-10-16,92786.53
9979,2023-11-16,93447.03
9979,2023-12-16,92211.15
9979,2024-01-16,93871.02
9979,2024-02-16,91692.32
9979,2024-03-16,91908.6
9979,2024-04-16,94250.51
9979,2024-05-16,94366.28
9979,2024-06-16,92341.08
9979,2024-07-16,89856.02
9979,2024-08-16,93590.47
9979,2024-09-16,89683.41
9979,2024-10-16,91066.79
9979,2024-11-16,90041.95
9979,2024-12-16,93162.52
9979,2025-01-16,90887.51
9979,2025-02-16,92228.74
40742,2023-12-18,47638.79
40742,2024-01-18,45300.3
40742,2024-02-18,44686.6
40742,2024-03-18,49065.15
40742,2024-04-18,47270.59
40742,2024-05-18,48632.94
40742,2024-06-18,48720.8
40742,2024-07-18,47332.01
40742,2024-08-18,47129.07
40742,2024-09-18,46012.16
40742,2024-10-18,46425.81
40742,2024-11-18,46670.7
40742,2024-12-18,46180.86
40742,2025-01-18,48076.17
40742,2025-02-18,48653.33
18236,2020-11-09,90591.47
18236,2020-12-09,88634.97
18236,2021-01-09,90909.9
18236,2021-02-09,85392.62
18236,2021-03-09,91311.18
18236,2021-04-09,91201.97
18236,2021-05-09,86500.33
18236,2021-06-09,88850.27
18236,2021-07-09,88365.43
18236,2021-08-09,89142.18
18236,2021-09-09,89722.6
18236,2021-10-09,88004.3
18236,2021-11-09,87767.28
18236,2021-12-09,85631.98
18236,2022-01-09,91149.26
18236,2022-02-09,89765.89
18236,2022-03-09,87839.32
18236,2022-04-09,86789.35
18236,2022-05-09,88776.01
18236,2022-06-09,86774.95
18236,2022-07-09,86237.61
18236,2022-08-09,90943.96
18236,2022-09-09,91349.93
18236,2022-10-09,88990.96
18236,2022-11-09,90226.13
18236,2022-12-09,86088.15
18236,2023-01-09,86049.39
18236,2023-02-09,85449.68
18236,2023-03-09,89598.64
18236,2023-04-09,89949.92
18236,2023-05-09,91155.42
18236,2023-06-09,87865.01
18236,2023-07-09,89747.8
18236,2023-08-09,87526.5
18236,2023-09-09,87514.85
18236,2023-10-09,86049.36
18236,2023-11-09,90998.97
18236,2023-12-09,85988.46
18236,2024-01-09,86257.96
18236,2024-02-09,91216.11
18236,2024-03-09,91212.94
18236,2024-04-09,85843.74
18236,2024-05-09,89177.01
18236,2024-06-09,89704.81
18236,2024-07-09,88461.56
18236,2024-08-09,86718.1
18236,2024-09-09,89650.25
18236,2024-10-09,88747.78
18236,2024-11-09,87711.51
18236,2024-12-09,86826.89
18236,2025-01-09,89179.82
25372,2021-08-08,16834.78
25372,2021-09-08,20831.92
25372,2021-10-08,15403.06
25372,2021-11-08,16241.87
25372,2021-12-08,15730.49
25372,2022-01-08,17440.02
25372,2022-02-08,19280.51
25372,2022-03-08,19608.82
25372,2022-04-08,17432.26
25372,2022-05-08,15860.84
25372,2022-06-08,18685.19
25372,2022-07-08,18675.57
25372,2022-08-08,20451.02
25372,2022-09-08,16194.35
25372,2022-10-08,18033.03
25372,2022-11-08,19135.92
25372,2022-12-08,18821.15
25372,2023-01-08,19857.27
25372,2023-02-08,19448.48
25372,2023-03-08,20177.3
25372,2023-04-08,16206.16
25372,2023-05-08,17424.54
25372,2023-06-08,18359.74
25372,2023-07-08,19944.16
25372,2023-08-08,18839.82
25372,2023-09-08,15719.45
25372,2023-10-08,16623.84
25372,2023-11-08,16016.64
25372,2023-12-08,19093.79
25372,2024-01-08,21062.23
25372,2024-02-08,20070.43
25372,2024-03-08,19990.67
25372,2024-04-08,17657.13
25372,2024-05-08,15521.46
25372,2024-06-08,19585.5
25372,2024-07-08,17815.26
25372,2024-08-08,18886.52
25372,2024-09-08,15731.1
25372,2024-10-08,19651.59
25372,2024-11-08,20677.49
25372,2024-12-08,19348.2
25372,2025-01-08,17132.32
43987,2020-03-27,34784.72
43987,2020-04-27,33042.91
43987,2020-05-27,32106.63
43987,2020-06-27,33223.0
43987,2020-07-27,31953.83
43987,2020-08-27,34428.47
43987,2020-09-27,32678.12
43987,2020-10-27,33657.06
43987,2020-11-27,29654.57
43987,2020-12-27,30144.61
43987,2021-01-27,30439.18
43987,2021-02-27,29107.72
43987,2021-03-27,34386.93
43987,2021-04-27,33711.41
43987,2021-05-27,34527.8
43987,2021-06-27,31025.26
43987,2021-07-27,30206.54
43987,2021-08-27,32242.64
43987,2021-09-27,32829.66
43987,2021-10-27,32195.53
43987,2021-11-27,34984.07
43987,2021-12-27,33408.89
43987,2022-01-27,34550.08
43987,2022-02-27,32114.75
43987,2022-03-27,30331.68
43987,2022-04-27,31347.7
43987,2022-05-27,29152.26
43987,2022-06-27,29212.45
43987,2022-07-27,32586.83
43987,2022-08-27,34164.11
43987,2022-09-27,29369.44
43987,2022-10-27,31789.84
43987,2022-11-27,29390.14
43987,2022-12-27,31130.76
43987,2023-01-27,32563.01
43987,2023-02-27,32314.4
